# format : LHS<pipe>RHS
# where:
# LHS : space-delimited words to match in the original reference text
# RHS : semi-colon-delimited list of space-delimited words to consider as equivalent expressions to the LHS
#
# This is non-recursive and single-pass only.
# By default, there won't be an automatic symetry:
# if you want a->b and b->a, you need to specify both
#
# Empty lines or lines starting with '#' are ignored

# To Be contractions - present
i am     | i'm
i'm      | i am
you are  | you're
you're   | you are
he is    | he's
he's     | he is
she is   | she's
she's    | she is
it is    | it's
it's     | it is
we're    | we are
we are   | we're
they are | they're

# To Be contractions - future
i will    |i'll
i'll      |i will
you will  |you'll
you'll    |you will
he will   |he'll
he'll     |he will
she will  |she'll
she'll    |she will
it will   |it'll
it'll     |it will
we will   |we'll
we'll     |we will
they will |they'll
they'll   |they will


okay    | ok ; 'kay
ok      | okay ; 'kay
'kay    | okay ; ok

til     | until ; 'til
'til    | until ; til
until   | 'til ; til

awhile | a while
a while | awhile

lotta    | lot of
lot of | lotta
sorta    | sort of
sort of  | sorta

dunno | don't know ; do not know
don't know | dunno
do not know | dunno

lemme | let me
let me | lemme

let's | let us
let us | let's

# TODO: can't -> cannot ?
# TODO: To Have ?
must've   | must have
must have | must've
would've | would have
would have | would've
should've | should have
should have | should've ; shoulda
might've | might have
might have | might've
could've | could have
could have | could've
i'd     | i had ; i would
i had | i'd
i would | i'd
you'd | you had  ; you would
you had | you'd
you would | you'd
he'd | he had ; he would
he had | he'd
he would | he'd
she'd | she had ; she would
she had | she'd
she would | she'd
they'd | they had ; they would
they had | they'd
they would | they'd
i've | i have
i have | i've
they've | they have
they have | they've
you've | you have
you have | you've


'cause | cause ; because
because | 'cause ; cause
gonna | going to
going to | gonna
wanna | want to
want to | wanna
kinda | kind of
kind of | kinda
gotta | got to
got to | gotta
'em | them
them | 'em
all right | alright

give me | gimme
gimme | give me
shoulda | should have
out of | outta
outta | out of
what are you | whatcha
whatcha | what are you

<barking>                  |  <unk>  
<cheer>                    |  <unk>          
<clap>                     |  <unk>         
<clear_throat>             |  <unk>                 
<cough>                    |  <unk>          
<crosstalk>                |  <unk>              
<cry>                      |  <unk>        
<finger_snap>              |  <unk>                
<foreign>                  |  <unk>            
<groan>                    |  <unk>          
<grunt>                    |  <unk>          
<inaudible>                |  <unk> 
<laugh>                    |  <unk>          
<mumble>                   |  <unk>           
<murmur>                   |  <unk>           
<phonetic>                 |  <unk>             
<scream>                   |  <unk>           
<sigh>                     |  <unk>         
<silence>                  |  <unk>            
<sing>                     |  <unk>         
<siren>                    |  <unk>          
<unk>                      |  <unk>        
<visual>                   |  <unk>           
<yawn>                     |  <unk>
